author,science_comments,denial_comments,total_comments,sci_ratio,bridge_type
@conormcmenemie5126,2,2,4,0.5,balanced
@gsully_69,1,3,4,0.25,denial-leaning
@jeffjests2764,1,3,4,0.25,denial-leaning
@jeffbenton6183,2,2,4,0.5,balanced
@critiqueofthegothgf,2,2,4,0.5,balanced
@bernzeppi,3,1,4,0.75,science-leaning
@louisholmes6961,2,2,4,0.5,balanced
@j.w.r3730,2,2,4,0.5,balanced
@jp4431,1,3,4,0.25,denial-leaning
@goodbeans5,2,2,4,0.5,balanced
@madshorn5826,3,1,4,0.75,science-leaning
@jean6453,2,2,4,0.5,balanced
@juzeus9,2,2,4,0.5,balanced
@jbaggaz,2,2,4,0.5,balanced
@crazyworldlarue8388,3,1,4,0.75,science-leaning
@jayday545,2,2,4,0.5,balanced
@harrydecker8731,2,2,4,0.5,balanced
@joedon1706,1,3,4,0.25,denial-leaning
@glenndavis4452,2,2,4,0.5,balanced
@dougcard5241,2,2,4,0.5,balanced
@gbuz5789,2,2,4,0.5,balanced
@frankenz66,2,2,4,0.5,balanced
@carlbrenninkmeijer8925,2,2,4,0.5,balanced
@deepashtray5605,3,1,4,0.75,science-leaning
@gene-fd4xg,1,3,4,0.25,denial-leaning
@coolramone,1,3,4,0.25,denial-leaning
@joeking1019,2,2,4,0.5,balanced
@australienski6687,1,3,4,0.25,denial-leaning
@ignaciocasodedios3184,2,2,4,0.5,balanced
@brooksanderson2599,1,3,4,0.25,denial-leaning
@dkvikingkd233,1,3,4,0.25,denial-leaning
@geoffreytoomey682,1,3,4,0.25,denial-leaning
@kruse8888,2,2,4,0.5,balanced
@donkey1271,3,1,4,0.75,science-leaning
@leeuniverse,2,2,4,0.5,balanced
@hime273,2,2,4,0.5,balanced
@keepitreal2902,2,2,4,0.5,balanced
@jameseames4754,3,1,4,0.75,science-leaning
@dougpatterson7494,1,3,4,0.25,denial-leaning
@downtoearth1950,2,2,4,0.5,balanced
@karlostj4683,2,2,4,0.5,balanced
@johnj4Clim8,2,2,4,0.5,balanced
@chrisconklin2981,1,3,4,0.25,denial-leaning
@jim7634,1,3,4,0.25,denial-leaning
@gingef5197,2,2,4,0.5,balanced
@fellinuxvi3541,2,2,4,0.5,balanced
@ducthman4737,2,2,4,0.5,balanced
@karenfrenchvanilla,3,1,4,0.75,science-leaning
@johnnyllooddte3415,3,1,4,0.75,science-leaning
@echelonrank3927,3,1,4,0.75,science-leaning
@klaasdykstra8127,2,2,4,0.5,balanced
@hagerty1952,3,1,4,0.75,science-leaning
@philipoakley5498,2,2,4,0.5,balanced
@romanpolanski4928,2,2,4,0.5,balanced
@thomasneal9291,1,3,4,0.25,denial-leaning
@peterweissmann7794,1,3,4,0.25,denial-leaning
@LabGecko,3,1,4,0.75,science-leaning
@stormytrails,2,2,4,0.5,balanced
@transsylvanian9100,3,1,4,0.75,science-leaning
@rumples2698,1,3,4,0.25,denial-leaning
@Kenneth-ts7bp,3,1,4,0.75,science-leaning
@ShopBH-n8d,2,2,4,0.5,balanced
@Chino780,1,3,4,0.25,denial-leaning
@troothcentral-qz9pz,1,3,4,0.25,denial-leaning
@tuoratoo,3,1,4,0.75,science-leaning
@pattybaselines,2,2,4,0.5,balanced
@patrick247two,3,1,4,0.75,science-leaning
@BufordTGleason,2,2,4,0.5,balanced
@KeizerPaPa,2,2,4,0.5,balanced
@FrederikFalk21,3,1,4,0.75,science-leaning
@KateeAngel,2,2,4,0.5,balanced
@oldmanfromscenetwentyfour8164,3,1,4,0.75,science-leaning
@BradThePitts,1,3,4,0.25,denial-leaning
@Bookhermit,2,2,4,0.5,balanced
@richardhuzzey1294,2,2,4,0.5,balanced
@LecherousLizard,2,2,4,0.5,balanced
@Richard482,2,2,4,0.5,balanced
@nyoodmono4681,3,1,4,0.75,science-leaning
@planefan082,1,3,4,0.25,denial-leaning
@EmilyJelassi,2,2,4,0.5,balanced
@MrRobtwothirds,1,3,4,0.25,denial-leaning
@Michael-hm8cs,2,2,4,0.5,balanced
@Mrbfgray,3,1,4,0.75,science-leaning
@robbabcock_,1,3,4,0.25,denial-leaning
@MauriatOttolink,3,1,4,0.75,science-leaning
@rapauli,3,1,4,0.75,science-leaning
@robertmoeller4352,1,3,4,0.25,denial-leaning
@NeilÇedilla,3,1,4,0.75,science-leaning
@randyohm3445,1,3,4,0.25,denial-leaning
@DrSmooth2000,3,1,4,0.75,science-leaning
@Noumenon4Idolatry,1,3,4,0.25,denial-leaning
