author,camp,mean_compound,std_compound,n_comments,pct_negative,pct_positive
@50_foot_punch99,denial,-0.21598666,0.16833570709117182,2,0.0,0.0
@50yobeast,science,0.97286236,,1,0.0,1.0
@525Lines,science,0.22142791466666664,0.3765742014298999,3,0.0,0.3333333333333333
@52acrefam,denial,0.05360589,,1,0.0,0.0
@52gt,science,-0.5929822,,1,1.0,0.0
@52marli,denial,-0.6142503100000001,0.16254615718312207,2,1.0,0.0
@5338ipv,science,-0.07308307,0.09285610875058085,3,0.0,0.0
@5353Jumper,denial,-0.55458605,0.417964144467809,3,0.6666666666666666,0.0
@5353Jumper,science,-0.6978431,,1,1.0,0.0
@53truthseeker,science,-0.74015635,,1,1.0,0.0
@54356776,denial,-0.87425065,,1,1.0,0.0
@5446isnotmynumber,denial,-0.83333814,0.0,2,1.0,0.0
@54m0h7,science,0.9146416,,1,0.0,1.0
@555atU,science,-0.54264735,0.11913390203759887,2,0.5,0.0
@55Quirll,denial,-0.17525136000000002,0.2830285032037736,4,0.25,0.0
@55Quirll,science,-0.7193121,0.013018967212494298,2,1.0,0.0
@55Reever,denial,-0.21584117,,1,0.0,0.0
@55dionysus,science,-0.13759881,,1,0.0,0.0
@57TheBoomer,denial,0.621266325,0.4993160642690172,2,0.0,1.0
@57panamadan,denial,-0.5497463,,1,1.0,0.0
@59vlada,denial,-0.25692207,0.0,2,0.0,0.0
@5Cats,denial,-0.1537372,,1,0.0,0.0
@5DNRG,denial,-0.8587714,,1,1.0,0.0
@5D_is_Reality,denial,-0.831925,,1,1.0,0.0
@5Gburn,science,0.565238,,1,0.0,1.0
@5TRICT9,denial,-0.6698144,,1,1.0,0.0
@5kamon,science,-0.7214854,,1,1.0,0.0
@5minutes2live,denial,0.89204043,,1,0.0,1.0
@5nefarious,science,0.027156285000000002,1.2000090192546764,2,0.5,0.5
@5rings16,science,-0.72340596,,1,1.0,0.0
@5thcorps,denial,0.95269686,,1,0.0,1.0
