camp,community,community_size,mean_compound,pct_negative,active_users
denial,39,5,0.2731667184166667,0.10185185185185185,4
denial,45,5,-0.30167676275,0.5340909090909091,4
denial,141,5,-0.041354773250000004,0.0,4
denial,150,5,-0.6282129949999999,1.0,4
denial,193,5,-0.482529611875,0.75,4
denial,209,5,-0.36183011583333335,0.5208333333333333,4
denial,224,5,0.43993513783529414,0.21960784313725487,5
denial,369,5,0.41891412562499997,0.125,4
denial,371,5,-0.150218173875,0.3333333333333333,4
denial,391,5,-0.3653332599611111,0.4833333333333333,5
denial,429,5,-0.068441314625,0.18333333333333335,4
denial,524,5,-0.31594133371166666,0.36166666666666664,5
denial,26,4,-0.27031916,0.3333333333333333,3
denial,34,4,-0.18494910666666664,0.4444444444444444,3
denial,101,4,-0.476001368125,0.7,4
denial,116,4,-0.4171905630357143,0.5178571428571428,4
denial,124,4,-0.2010136364111111,0.38888888888888884,3
denial,147,4,-0.6297001915,0.775,4
denial,195,4,-0.5013231083333333,0.6666666666666666,3
denial,197,4,-0.63327853,0.8333333333333334,3
denial,235,4,-0.3550370759777777,0.6,3
denial,251,4,-0.18068839934722225,0.29166666666666663,4
denial,296,4,-0.19006087333333332,0.3333333333333333,3
denial,299,4,0.19268543166666668,0.125,4
denial,300,4,-0.2116441494444444,0.5,3
denial,313,4,-0.61450797125,0.7678571428571428,4
denial,344,4,-0.2962972485027778,0.5138888888888888,4
denial,366,4,0.20611552777777783,0.3333333333333333,3
denial,423,4,-0.49595180150000007,0.625,4
denial,436,4,-0.528267835,0.6666666666666666,3
denial,443,4,0.1424208401923077,0.19230769230769232,4
denial,448,4,-0.13064463316666663,0.3333333333333333,3
denial,490,4,0.1589081025,0.1875,4
denial,503,4,-0.4316326457916667,0.5,4
denial,543,4,-0.68368880328125,0.875,4
denial,653,4,-0.16166996461805555,0.3020833333333333,4
denial,704,4,-0.5375924383333334,0.6666666666666666,3
denial,717,4,-0.5112656066666666,0.611111111111111,3
denial,741,4,-0.48685513356666665,0.4,4
denial,751,4,-0.5377532060909092,0.7795454545454545,4
denial,765,4,-0.40115683555555554,0.5,3
denial,768,4,-0.43742135197916665,0.5729166666666666,4
denial,830,4,-0.09670442270454546,0.4015151515151515,4
denial,8,3,-0.4180061877777778,0.5925925925925926,3
denial,21,3,-0.33575454944444444,0.5,3
denial,44,3,-0.14323256699999998,0.0,2
denial,46,3,0.17409706500000002,0.0,2
denial,54,3,-0.7326595566666666,1.0,3
denial,56,3,-0.4757345803333333,0.6666666666666666,3
denial,59,3,-0.23228392091666666,0.25,2
denial,60,3,-0.43595951135714284,0.3333333333333333,3
denial,70,3,0.37062296333333333,0.3333333333333333,3
denial,71,3,-0.7821486875,1.0,2
denial,72,3,0.9019564275,0.0,2
denial,78,3,-0.18104686833333336,0.5,3
denial,79,3,-0.5419923833333333,0.6666666666666666,3
denial,80,3,-0.698771034,0.8333333333333334,3
denial,93,3,0.02801956533333333,0.06666666666666667,3
denial,99,3,0.012674335250000014,0.0,3
denial,103,3,-0.6733075786666666,0.8666666666666667,3
denial,107,3,-0.43520931500000004,0.75,2
denial,113,3,-0.61608206,0.8333333333333334,3
denial,114,3,-0.4973821153333333,0.8333333333333334,3
denial,121,3,-0.6895014969166667,0.9166666666666666,3
denial,126,3,-0.4746907633333333,0.6666666666666666,3
denial,129,3,-0.4379937683333333,0.8333333333333334,3
denial,130,3,-0.458299856875,0.75,2
denial,132,3,-0.2890174795,0.5,2
denial,133,3,-0.5867807308333334,0.5833333333333334,3
denial,137,3,-0.103574927435,0.0,2
denial,139,3,-0.31615680305555555,0.16666666666666666,3
denial,151,3,-0.4242217908333333,0.8333333333333334,3
denial,156,3,-0.010679708333333315,0.3333333333333333,3
denial,163,3,-0.7167668513333334,1.0,3
denial,165,3,0.15887921773333333,0.0,3
denial,166,3,-0.37073923866666664,0.3333333333333333,3
denial,168,3,-0.23836641833333336,0.3333333333333333,3
denial,177,3,-0.12762254835,0.06666666666666667,3
denial,181,3,-0.15702508788888886,0.2222222222222222,2
denial,190,3,0.04093835233333333,0.0,3
denial,210,3,-0.32663895633333334,0.5,3
denial,219,3,-0.08789080666666665,0.5,3
denial,221,3,0.05874902584444445,0.0,3
denial,225,3,-0.16255855766666663,0.48148148148148145,3
denial,227,3,-0.3215578938888889,0.5555555555555555,3
denial,231,3,-0.5006878572222222,0.8333333333333334,3
denial,236,3,-0.6156571143333334,0.7000000000000001,3
denial,239,3,-0.013025647888888917,0.5,3
denial,244,3,-0.7624971372222222,1.0,3
denial,248,3,-0.29308029716666667,0.39999999999999997,3
