in_degree,out_degree,pagerank,betweenness,eigenvector,closeness,influence_composite,author,camp,activity
2,0,0.00046143556581046614,0.0,-3.494872910604811e-18,0.0,0.013588228939796552,@0649Hayes,science,1
0,2,0.00024966984898537066,0.0,-5.745038208194943e-19,0.0,0.0,@BigFatHeretic,science,2
2,0,0.00046143556581046614,0.0,-1.4591285599402872e-18,0.0,0.013588228939796552,@nosondre,science,1
0,3,0.00024966984898537066,0.0,1.814654649879375e-18,0.0,0.0,@BigNewGames,science,3
7,0,0.0007445918500488002,0.0,-8.149294222887811e-19,0.0,0.03640884655308869,David Dilley GlobalWeatherCycles,science,0
0,2,0.00024966984898537066,0.0,-2.385253757757893e-18,0.0,0.0,@BillyTheKidCENTURION,science,3
2,0,0.00046143556581046614,0.0,-3.898225310970124e-18,0.0,0.013588228939796552,@hocuspocus1237,science,1
0,2,0.00024966984898537066,0.0,-7.0944151722184315e-19,0.0,0.0,@BipoIarbear,science,2
2,0,0.00046143556581046614,0.0,-4.125612912575157e-18,0.0,0.013588228939796552,@ianbeel4887,science,1
0,2,0.00024966984898537066,0.0,3.495644281963071e-20,0.0,0.0,@BlickQuickly1,science,2
