author,science_comments,denial_comments,total_comments,sci_ratio,bridge_type,mean_compound,n_comments
@loturzelrestaurant,3,3,6,0.5,balanced,-0.029650983500000005,6
@Regretr1,2,4,6,0.3333333333333333,balanced,-0.17311916500000002,6
@bobmester3475,3,3,6,0.5,balanced,0.306933155,6
@tr7b410,4,2,6,0.6666666666666666,balanced,-0.15803362312499997,6
@ab9957,5,1,6,0.8333333333333334,science-leaning,-0.05589207710000001,6
@bipolatelly9806,4,2,6,0.6666666666666666,balanced,-0.57562784,6
@OJTPhD,2,4,6,0.3333333333333333,balanced,-0.603905255,6
@michaelschiessl8357,4,2,6,0.6666666666666666,balanced,0.32560879,6
@lotoreo,5,1,6,0.8333333333333334,science-leaning,-0.806181109,6
@fuzzywzhe,2,4,6,0.3333333333333333,balanced,-0.608524355,6
@christophercharles3169,4,2,6,0.6666666666666666,balanced,-0.57334307625,6
@Ominousheat,5,1,6,0.8333333333333334,science-leaning,-0.5222612719999999,6
@marksmith4346,1,5,6,0.1666666666666666,denial-leaning,-0.65820725,6
@Stupidityindex,2,4,6,0.3333333333333333,balanced,-0.4275956675,6
@mrradman2986,2,4,6,0.3333333333333333,balanced,-0.39312791375,6
@Rnankn,5,1,6,0.8333333333333334,science-leaning,-0.682596136,6
@philwilson609,3,3,6,0.5,balanced,-0.4769097661666667,6
@SteveLomas-k6k,2,4,6,0.3333333333333333,balanced,-0.01173476000000001,6
@oakfat5178,4,2,6,0.6666666666666666,balanced,-0.10607760374999997,6
@cageybee7221,2,4,6,0.3333333333333333,balanced,-0.5686936665,6
@SimonClark,4,2,6,0.6666666666666666,balanced,0.155662325,6
@urbanstrencan,3,3,6,0.5,balanced,0.616023645,6
@TennesseeJed,4,2,6,0.6666666666666666,balanced,-0.04086471375000002,6
@harrymills2770,1,5,6,0.1666666666666666,denial-leaning,-0.26294644,6
@nicolatesla5786,4,2,6,0.6666666666666666,balanced,-0.3817416022,6
@Bushman9,3,3,6,0.5,balanced,-0.5808266799999999,6
@BythepeopleForthepeople203,5,1,6,0.8333333333333334,science-leaning,0.18483153600000002,6
@55Quirll,2,4,6,0.3333333333333333,balanced,-0.44728173000000004,6
@mudslinger888,4,2,6,0.6666666666666666,balanced,-0.42408537675,6
@gardengnome3249,1,5,6,0.1666666666666666,denial-leaning,-0.11482372700000001,6
@RosscoAW,2,4,6,0.3333333333333333,balanced,-0.5398524,6
@benchapple1583,3,3,6,0.5,balanced,-0.47963616499999995,6
@62Sketch,2,4,6,0.3333333333333333,balanced,-0.5014917776,6
@primpal08,3,3,6,0.5,balanced,-0.05847885966666666,6
@MinusEighty,5,1,6,0.8333333333333334,science-leaning,-0.778967095,6
@JeffBilkins,2,4,6,0.3333333333333333,balanced,-0.44916916632500004,6
@timbushell8640,2,4,6,0.3333333333333333,balanced,-0.41492511499999996,6
@thepope2412,5,1,6,0.8333333333333334,science-leaning,-0.39391321799999995,6
@sixvee5147,4,2,6,0.6666666666666666,balanced,0.64076279,6
@jamesesselman283,4,2,6,0.6666666666666666,balanced,-0.670665925,6
@thefleecer3673,2,4,6,0.3333333333333333,balanced,0.18869338125,6
@firewizzard86,5,1,6,0.8333333333333334,science-leaning,0.1447885,6
@steve-r-collier,3,3,6,0.5,balanced,-0.16838865166666667,6
@jeromejerome2492,2,4,6,0.3333333333333333,balanced,-0.29764629600000003,6
@GonzoFumbleficker,3,3,6,0.5,balanced,-0.66161475,6
@johnvoelker4345,3,3,6,0.5,balanced,-0.34799984433333336,6
@LarryCleveland,4,2,6,0.6666666666666666,balanced,-0.28192465125,6
@jamesdellaneve9005,2,4,6,0.3333333333333333,balanced,-0.2979989522,6
@electronresonator8882,5,1,6,0.8333333333333334,science-leaning,-0.687205166,6
@stevenwiederholt7000,4,2,6,0.6666666666666666,balanced,-0.33403114375,6
@DarthVaderfr,2,4,6,0.3333333333333333,balanced,-0.1644182525,6
@Ninjaeule97,2,4,6,0.3333333333333333,balanced,-0.3984951,6
@jordapen,4,2,6,0.6666666666666666,balanced,-0.081110514375,6
@NapoleonGelignite,1,5,6,0.1666666666666666,denial-leaning,-0.12462058,6
@jimr5855,1,5,6,0.1666666666666666,denial-leaning,0.66237943103,6
@svenweihusen57,2,4,6,0.3333333333333333,balanced,-0.122579585425,6
@scenicalpinedrives,4,2,6,0.6666666666666666,balanced,0.222610525,6
@JoeZorzin,2,4,6,0.3333333333333333,balanced,-0.19708838750000002,6
@rvdb8876,1,5,6,0.1666666666666666,denial-leaning,-0.028615291,6
@Deebz270,3,3,6,0.5,balanced,-0.3314040071666667,6
@tealkerberus748,3,3,6,0.5,balanced,-0.268342835,6
@FelipeKana1,4,2,6,0.6666666666666666,balanced,-0.12639766875,6
@Ethan.Lamoureux,4,2,6,0.6666666666666666,balanced,-0.17779593285,6
@my1vice,1,4,5,0.2,denial-leaning,-0.6421177175,5
@TX-dy4ef,3,2,5,0.6,balanced,-0.5642420083333333,5
@therobbieunited,2,3,5,0.4,balanced,-0.4314976075,5
@Alex-cw3rz,3,2,5,0.6,balanced,-0.15501879416666664,5
@iamthinking2252_,3,2,5,0.6,balanced,-0.06776278658333335,5
@thesprinklerguy2598,2,3,5,0.4,balanced,-0.5656087991666667,5
@devils_advocate_88,1,4,5,0.2,denial-leaning,0.17835544249999996,5
@Arisaem,1,4,5,0.2,denial-leaning,-0.6863937474999999,5
@AstrumEarth,2,3,5,0.4,balanced,0.6169386416666667,5
@theultimatereductionist7592,2,3,5,0.4,balanced,-0.6097088866666667,5
@nigelliam153,1,4,5,0.2,denial-leaning,-0.115647217475,5
@JW4REnvironment,1,4,5,0.2,denial-leaning,0.55642854,5
@nopers369,4,1,5,0.8,science-leaning,-0.37092807375,5
@Unsensitive,3,2,5,0.6,balanced,-0.37064000333333336,5
@westlands703,2,3,5,0.4,balanced,-0.06967559208333335,5
@Jameswoodgo,3,2,5,0.6,balanced,0.05088743116666667,5
@dks13827,2,3,5,0.4,balanced,-0.4593813583333333,5
@jimmyfortrue3741,4,1,5,0.8,science-leaning,-0.7346828375000001,5
@whatelseison8970,3,2,5,0.6,balanced,-0.31827434083333334,5
@NoWay1969,1,4,5,0.2,denial-leaning,-0.291637273575,5
@winterrain1947,1,4,5,0.2,denial-leaning,-0.5968810149999999,5
@GazGuitarz,3,2,5,0.6,balanced,-0.7044109656666666,5
@astrumspace,1,4,5,0.2,denial-leaning,0.41070623,5
@tbl268,3,2,5,0.6,balanced,0.209786606,5
@markrowley8177,2,3,5,0.4,balanced,-0.23862796416666665,5
@jasonlarsen4945,1,4,5,0.2,denial-leaning,0.273125635,5
@benru22,1,4,5,0.2,denial-leaning,-0.163688112,5
@erickort1987,2,3,5,0.4,balanced,0.5476164058333333,5
@anguscampbell1533,1,4,5,0.2,denial-leaning,0.028808442,5
@elli003,4,1,5,0.8,science-leaning,-0.0005319137500000015,5
@egoncorneliscallery9535,3,2,5,0.6,balanced,0.3356719591666667,5
@globalwarming382,3,2,5,0.6,balanced,-0.6213451316666666,5
@GaryR55,2,3,5,0.4,balanced,-0.17955172416666665,5
